accepted_name,accepted_attr,accepted_rank,accepted_no,early_interval,max_ma,min_ma,reference_no,Longitude,latitude,cc,paleomodel,paleolng,paleolat,geoplate
Emuarius gidju,,species,53358,Oligocene,28.4,15.97,4424,140.733337,-27.75,AU,gp_mid,143.36,-39.46,801
Dromaius,,genus,173845,Miocene,15.97,11.608,4424,131.522217,-17.116667,AU,gp_mid,131.11,-25.91,801
Dromaius,,genus,173845,Miocene,11.608,5.333,4424,133.883331,-23.700001,AU,gp_mid,133.87,-28.94,801
Dromaius ocypus,,species,53357,Pliocene,5.333,2.588,4424,140.733337,-27.75,AU,gp_mid,140.94,-30.23,801
Dromaius novaehollandiae,,species,164088,Pliocene,5.333,3.6,4424,138.416672,-28.766666,AU,gp_mid,,,N/A
Dromaius,,genus,173845,Pliocene,5.333,3.6,4424,138.416672,-28.766666,AU,gp_mid,,,N/A
Dromaius ocypus,,species,53357,Pliocene,5.333,2.588,4424,140.733337,-27.75,AU,gp_mid,140.94,-30.23,801
Dromaius novaehollandiae,,species,164088,Pliocene,5.333,3.6,4424,150.633331,-26.75,AU,gp_mid,,,N/A
Dromaius,,genus,173845,Pleistocene,0.126,0.0117,4424,140.733337,-27.75,AU,gp_mid,,,N/A
Lithornis vulturinus,,species,246687,Eocene,55.8,48.6,4416,0.75,51.25,UK,gp_mid,8.18,42.43,315
Paracathartes howardae,,species,246699,Eocene,55.8,48.6,4416,-108.37944,43.025002,US,gp_mid,-81.69,50.67,101
Struthionidae,,family,39276,Miocene,15.97,11.608,4922,16.5,-28.25,NA,gp_mid,,,N/A
Struthio camelus,,species,223891,Holocene,0.0117,0,5213,24.633301,-27.616699,ZA,gp_mid,24.63,-27.62,701
Struthio camelus,,species,223891,Holocene,0.0117,0,5214,25.549999,-28.6667,ZA,gp_mid,25.55,-28.67,701
Struthio camelus,,species,223891,Holocene,0.0117,0,5222,29.0833,25.799999,EG,gp_mid,29.08,25.8,715
Struthio camelus,,species,223891,Holocene,0.0117,0,5227,23.0333,-28.205601,ZA,gp_mid,23.03,-28.21,701
Struthio camelus,,species,223891,Holocene,0.0117,0,5221,25.5,23,EG,gp_mid,25.5,23,715
Struthio camelus,,species,223891,Holocene,0.0117,0,5213,24.633301,-27.616699,ZA,gp_mid,24.63,-27.62,701
Struthio camelus,,species,223891,Pleistocene,2.588,0.0117,5213,24.633301,-27.616699,ZA,gp_mid,24.57,-27.89,701
Struthio camelus,,species,223891,Pleistocene,2.588,0.0117,5252,18,-33,ZA,gp_mid,17.9,-33.26,701
Struthio,,genus,39278,Pleistocene,2.588,0.781,4954,35.345798,-2.9875,TZ,gp_mid,35.29,-3.58,712
Struthio,,genus,39278,Pleistocene,1.806,0.781,4478,34.3167,-2.979,TZ,gp_mid,34.29,-3.27,712
Struthio,,genus,39278,Pleistocene,1.806,0.781,4478,34.3167,-2.979,TZ,gp_mid,34.29,-3.27,712
Struthio camelus,,species,223891,Pleistocene,0.126,0.0117,5318,29.6,-0.135,CD,gp_mid,29.6,-0.14,701
Struthio camelus,,species,223891,Holocene,0.0117,0,5318,29.6,-0.135,CD,gp_mid,29.6,-0.14,701
Struthio camelus,,species,223891,Pleistocene,2.588,0,5325,29.823,1.374,CD,gp_mid,29.83,1.09,701
Struthio camelus,,species,223891,Pleistocene,2.588,0,5283,33.766701,-4.033,TZ,gp_mid,33.74,-4.33,712
Struthio,,genus,39278,Miocene,23.03,2.588,5401,18.15,-32.976002,ZA,gp_mid,16.74,-36.31,701
Struthio,,genus,39278,Pliocene,5.333,3.6,5391,18.15,-32.976002,ZA,gp_mid,17.74,-34.01,701
Struthio,,genus,39278,Pliocene,5.333,3.6,5423,18.15,-32.976002,ZA,gp_mid,17.74,-34.01,701
Struthio,,genus,39278,Miocene,7.246,2.588,8636,36.049999,2.9,KE,gp_mid,,,N/A
Struthio,,genus,39278,Miocene,11.62,5.333,8636,36.049999,2.9,KE,gp_mid,,,N/A
Struthio,,genus,39278,Pleistocene,0.781,0.0117,5569,36,0.5,KE,gp_mid,,,N/A
Struthio,,genus,39278,Pleistocene,1.806,0.781,4784,35.334702,-2.989,TZ,gp_mid,35.31,-3.28,712
Struthio,,genus,39278,Pliocene,3.6,2.588,5649,30.25,30.4167,EG,gp_mid,,,N/A
Struthio,,genus,39278,Pleistocene,2.588,1.806,4948,35.3736,-2.9806,TZ,gp_mid,35.32,-3.57,712
Struthio,,genus,39278,Pleistocene,2.588,1.806,4659,35.3736,-2.9806,TZ,gp_mid,35.32,-3.57,712
Struthio,,genus,39278,Pleistocene,1.806,0.781,4478,35.327801,-2.9916,TZ,gp_mid,35.3,-3.29,712
